Disease ,Gender,Age,Sym1,Sym2,Sym3,Sym4,Sym5,Sym6,Sym7,Sym8,Sym9,Sym10,Sym11,Sym12,Sym13,Sym14,Sym15
Trichinosis,both,common,Upset stomach,Vomiting,Diarrhea,Muscle pain,Stiffness,Muscle inflammation,,,,,,,,,
Lipoma ,female,ten,multiple Lipomas,Variable size amd shape and growth rate,Asymptomatic unless,Lipomas,abdominal cavity,Lipomas,intermuscular Lipomas,,,,,,,,
Nocardiosis ,both,common,Depends on the site of infection,Pleural,pyothorax,resulting in dyspnea,Fever,Cutaneous,Chronic,Non-healing wounds,often accompanied by fistulous tracts,may result in lymphadenopathy,Lymph node,Disseminated,Weight loss,fever,Depression
Joint Luxations ,both,common,Adjoining bone,Hip luxation is commonly cranio-dorsal,Shoulder luxation is commonly medial,Elbow luxation,Carpal and tarsal,hyperextension when stressed,Acute swelling,pain,non-use of the limb,Partial weight-bearing,,,,,
Melanocytic Tumors - Oral ,both,common,Excessive salivation,Halitosis,Dysphagia,Bloody,Weight loss,Oral mass often friable,Loose teeth,Facial deformity,Regional lymphadenomegaly,Pain or discomfort,,,,,
Pelvic Bladder,both,five,Asymptomatic,Incontinence can be intermittent,Conscious voiding patterns often present,Urgency with small volume elimination,Perineum stained or soaked with urine,urine scalding,wet vulva or prepuce,,,,,,,,
Canine Influenza ,both,common,Post-infection,Modest febrile response,Clear nasal,higher temperatures,Coughing,,,,,,,,,,
Hyperviscosity Syndrome,both,common,Loss of Appetite,Lethargy,Depression,Excessive urination and excessive thirst,Blindness,unsteadiness,Bleeding tendencies,Seizures,Rapid heartbeat,Nosebleed,optic swelling,,,,
Bile Duct Obstruction,both,ten,Weight loss,Severe Jaundice,Hepatomegaly unless biliary cirrhosis,Cranial mass effect structures,Vague cranial abdominal discomfort,Acholic feces unless enteric Bleeding,Bleeding tendencies,severe bilirubinuria,,,,,,,
Azotemia and Uremia,both,common,Weight loss,Anorexia,Reduced activity,Depression,Fatigue,Weakness,Vomiting,Diarrhea,Halitosis,Constipation,Polyuria,Changes in urine volume,Poor haircoat,,
Leukoencephalomyelopathy ,both,five,Insidious,non-painful,progressive onset,Cervical spinal cord,Weakness,Front limbs are more severely affected than hind limbs,Mild asymmetry,Nail scuffing in all limbs,Proprioceptive positioning,Spinal reflexes normal to exaggerated,,,,,
Rotavirus Infections,both,common,Diarrhea,Mucus in the feces,Fever,Vomiting,Poor appetite,Low energy,,,,,,,,,
Aspirin Toxicosis,both,common,Depression,Anorexia,Vomiting,vomitus may be blood tinged,Tachypnea,Hyperthermia,Weakness,Ataxia,Coma,Seizures,,,,,
Dermatoses-Neoplastic,both,ten,Abdominal swelling,Bleeding from the mouth or nose,Difficulty breathing,Difficulty eating,Lumps,discolored skin,Non-healing wounds,Vomiting,Sudden changes in weight,Unexplained swelling,Lameness,Visible mass,,,
Hepatozoonosis,both,common,Fever,Depression,Weight loss,Muscle atrophy,Soreness,Stiffness,Eye discharge,Diarrhea,Joint pain,Generalized pain,,,,,
Prostatitis and Prostatic Abscess,male,ten,Lethargy,Anorexia,Tenesmus,Dysuria,Pyrexia,Pain at prostatic or caudal abdominal palpation,Sanguineous urethral discharge,Stiff hindlimb gait,Septic shock,,,,,,
LeiomyosarComa ,both,ten,Related to gastrointestinal tract,Vomiting,Weight loss,Diarrhea,borborygmus,Flatulence,tenesmus,may lead to rectal prolapse,Hematochezia,may feel mid-abdominal mass,painful loops of small bowel on abdominal palpation,feel palpable,,,
Congenital and Developmental Renal Diseases ,both,common,Chronic,Abdominal distension,edema,nephrotic syndrome,Abdominal distension,Abdominal pain,Unilateral,frequently Asymptomatic,,,,,,,
Tetanus,both,common,Curled lips,Clenched jaw,Trouble swallowing,Drooling,Stiffness,Difficulty walking,Muscle Tremors or spasms,Unable to bend legs,Difficulty breathing,,,,,,
Lymphomatoid Granulomatosis ,both,common,Coughing,Serous,Exercise intolerance,Weight loss,Anorexia,Fever,,,,,,,,,
Nephrolithiasis ,both,common,None or Hematuria,Vomiting,Dysuria,renal failure,lower urinary tract,Vomiting,,,,,,,,,
Metaldehyde Toxicosis ,both,common,toxicant,Seizures,hyperthermia,Restlessness,Salivation,Vomiting,Diarrhea,Tachycardia,Tachypnea,Hyperthermia,leading to DIC and multi-organ failure if uncontrolled,Ataxia,Tremors,Seizures,weight loss
Atrioventricular Block - Second Degree?Mobitz II,both,ten,Extreme sleepiness or tiredness,Disoriented,Eating less than normal,Weight loss,Diarrhea,Vomiting,Fainting,Collapse,,,,,,,
Infertility-male,male,common,Fever,Uneasiness or discomfort,Bloody,Painful ejaculation,Swelling,Depression,Pain in lumbar region,Retrograde ejaculation,Changes in libido,Failure to ejaculate,Refusal to breed,,,,
Exocrine Pancreatic Insufficiency,both,common,stomach problems,Weight loss,Diarrhea,Weight loss,Lethargy,Loud rumbling sounds from the stomach,Frequent bowel movements,Frequent gas,,,,,,,
Vestibular Disease - Geriatric ,both,fifteen,peripheral vestibular dysfunction,If vestibular signs are severe,Eye discharge,Sudden onset of imbalance,Disorientation,irregular eye movements,Vomiting,Head tilt mild to marked,directed toward the side of the lesion,erratic side-to-side head,Abnormal nystagmus common in early stages,either horizontal,abnormal nystagmus usually mild,Vomiting,Weakness
Sertoli Cell Tumor,both,fifteen,Blood in the urine,shrinkage,lose weight,appear pale,hair loss in the area of the tumor,hyperpigmentation of the skin,a mass in the abdomen,,,,,,,,
Discospondylitis,both,common,Back pain,Neck Pain,reluctance to walk,Decreased appetite,Ataxia or paresis,Weight loss,Lack of appetitie,Lameness,Draining tracts,,,,,,
Iron Toxicosis,both,common,Vomiting,Pain and swelling in the abdomen,Loss of Appetite,Weight loss,Agitation,Fast heartbeat,Low blood pressure,Extreme tiredness,Shock,Seizure,Depression,Fever,Jaundice,Diarrhea,Muscle Tremors
Amebiasis,male,common,Listlessness,Halitosis,Weakness,Vomiting,Diarrhea,Dry spots or sores on the nose and legs,Oral mucus membranes,A severe case also documented hair loss,brittle hair shafts and hardened skin on the neck,,,,,,
Mycoplasmosis ,both,common,Polyarthritis,Lameness,Reluctance to move,Joint pain,Fever,Malaise,Unilateral,Polyarthritis,diffuse limb edema,Joint swelling,pain,Blepharospasm,Chemosis,Conjunctival hyperemia,red eye
Panniculitis,both,common,multiple subcutaneous nodules,Firm,Nodules few millimeters to several centimeters in diameter,Involved fat may necrose,Exudate usually a small amount of oily discharge,Bloody,Lesions,Anorexia,Pyrexia,Lethargy,depression,,,,
Amitraz Toxicosis,male,common,Depression,Weakness,Ataxia,Bradycardia,Vomiting,Hyperthermia,Hyperglycemia,Polyuria,Mydriasis,Gastrointestinal stasis,,,,,
Gastric Dilation and Volvulus Syndrome,both,common,Vomiting,Anxious behavior,Abdominal pain,Abdominal distention,Collapse,Lethargy,Drooling,,,,,,,,
Squamous Cell Carcinoma-Nasal and Paranasal Sinuses,male,common,Runny nose that goes on for a long time,Bloody,Excessive tear,Sneezing,Bad breath,Loss of Appetite,Seizures,Bulging eyes,Nose seems deformed,,,,,,
Squamous Cell Carcinoma-Digit,both,five,Raised wart like lump,Inflamed sores,Bleeding sores,Limping or signs of pain when walking,Lameness,Drooling,Difficulty chewing or swallowing,Mild Coughing,Swollen or inflamed areas in the mouth,Loose teeth,Oral Bleeding,,,,
Rhinosporidiosis,male,common,Sneezing,Bleeding,Wheezing,Labored breathing,an infection of the nostrils with a cauliflower-like growth,a polyp or other growth located near or on the nostril,,,,,,,,,
Dermatoses Viral,both,common,runny eyes,fever,snotty nose,Coughing,Vomiting,Diarrhea,Seizures,paralysis,,,,,,,
Panting and Tachypnea,both,common,Coughing,hyperadrenocorticism,intermittent,Brachycephalic syndrome may be observed,Stridor,Lower airway disease,Coughing,expiratory wheezes on auscultation,abdominal effort,crackles on auscultation,harsh or moist lung sounds,Cardiogenic pulmonary edema,heart murmur or arrhythmia,Tachycardia,gallop sound
Blue-Green Algae Toxicosis ,both,common,Diarrhea,Weakness,shock,Depression,Coma,Drooling,Neurologic signs,Disorientation/Confusion,Seizures,Breathing difficulties,,,,,
Aortic Thromboembolism ,both,ten,Absent or diminished femoral pulse,Anxiety,Coughing,Difficulty rising,Exercise intolerance,Coughing,Hypothyroidism,Weakness,Lowered body temperature,Respiratory distress,Sudden paralysis and pain,Toe wounds,Unusual Vocalizations,Weakness,
Car Ride Anxiety ,both,common,Signs of fear and anxiety vary between individuals,Pacing,Restlessness,Inappetance,vigilance,excitability,Vocalization,Distress Vocalization,,,,,,,
Polycystic Kidney Disease,both,common,Abdominal enlargement,cyst formation,May detect bosselated kidneys by abdominal palpation,renal capsule and pain,,,,,,,,,,,
Notoedric Mange ,both,common,Non-seasonal intense Pruritus,initial Pruritus,Change from mild Pruritus,not develop severe Pruritus,Papules and crusts develop on pinnae,Progresses to the legs and feet and perineum,Lesions,Skin becomes thickened,gray-yellow crust,Large patches of lesions,Peripheral lymphadenopathy,,,,
Notoedric Mange ,both,common,Non-seasonal intense Pruritus,initial Pruritus,Change from mild Pruritus,not develop severe Pruritus,Papules and crusts develop on pinnae,Progresses to the legs and feet and perineum,Lesions,Skin becomes thickened,gray-yellow crust,Large patches of lesions,Peripheral lymphadenopathy,,,,
Muscle Tear,both,common,Lameness,Localized swelling,heat and pain,Animals may experience re-injury,Progressive,Painless,scar tissue that impedes normal function,Lameness,Pain in legs,Pain in lower back,Muscle fatigue,Tendency to avoid weight bearing,,,
Nasal and Nasopharyngeal Polyps ,both,common,Chronic,Noisy breathing,Nasal congestion or discharge,Sneezing,Unilateral,Generally non-responsive to antibiotics,Nasopharyngeal or Aural Polyps,Stridor,Gagging,Cyanosis,Voice change,Dysphagia,Chronic,ataxia,Head tilt
Campylobacteriosis ,both,ten,Diarrhea,bile streaked,Tenesmus,Fever,Anorexia,Vomiting,,,,,,,,,
Hepatic Amyloid,both,common,Fever,Swollen hocks,Joint inflammation,Joint pain,Lack of energy,Loss of Appetite,Abdominal discomfort,Swelling,Buildup of abdominal fluid,Vomiting,Excessive thirst,Excessive urination,,,
Histiocytic Diseases,male,common,Appetite loss,Swelling of the inner eye,Inflammation or edema,Lymph node,Muscle spasms,Fever,Depression,Lethargy,Appetite loss,Weight loss,Coughing,Vomiting,Diarrhea,Trouble breathing,
Laryngeal Diseases ,both,ten,Panting,Exercise and heat intolerance,Noisy respiration,Change of voice,Occasional Coughing,inspiratory Respiratory distress,Collapse,Syncope,Polyneuropathy,polymyopathy,myasthenia gravis,Regurgitation,Weakness,Abnormal gait,noise breathing
Prostatitis and Prostatic Abscess,male,ten,Lethargy,Anorexia,Tenesmus,Dysuria,Pyrexia,Pain at prostatic or caudal abdominal palpation,Sanguineous urethral discharge,Stiff hindlimb gait,Septic shock,,,,,,
Acne,both,common,Mouth pain,erythematous Papules,Lesions,Not eating,Lesions,Lesions,most are non-painful and non-pruritic,Chronic,,,,,,,
Chocolate Toxicosis ,both,common,Ingestion,chewed containers,Vomiting,increased activity,,,,,,,,,,,
FibrosarComa Gingiva,both,common,Oral Bleeding,Traces of blood in saliva,Difficulty chewing and eating,Difficulty swallowing,Lymph node,Drooling,Facial swelling,Growth or growths in mouth,Persistent Halitosis,Unexplained weight loss,,,,,
Megaesophagus ,both,common,Vomiting,Vomiting,Regurgitation,dysphagia,Coughing,Nasal discharge with aspiration pneumonia,ravenous appetite or inappetence,Weight loss,Ptyalism and Halitosis,Dysphonia,Other signs depend upon underlying etiology,Cervical swelling,representing a distended cervical esophagus,Ptyalism,Halitosis
Horner?s Syndrome,both,common,Drooping of the eyelid,Constricted pupil of the affected eye,Sunken appearance of the affected eye,third eyelid,Vision may be impaired,,,,,,,,,,
Snake Venom Toxicosis?Pit Vipers,both,common,Visible bite marks,Pain,Swelling,Agitation,Breathing trouble,Vomiting,Diarrhea,Dizziness,Extreme sleepiness,Trouble walking,Fainting,Shock,Death,,
Phlebitis,both,common,local inflammation,Erythema,pain,heat,swelling and vessel hardness,concurrent lymphedema,infection or abscess,Fever,,,,,,,
Dental Caries,both,common,Dark discoloration,Bad Odor and softened enamel and dentin,painful underlying tooth,lined by dark and soft necrotic dentin,,,,,,,,,,,
Gastric Motility Disorders,both,common,Vomiting,Nausea,Loss of Appetite,Belching,Compulsive eating,Weight loss,,,,,,,,,
Anemia - Regenerative,both,common,Pallor,Weakness,Exercise intolerance,Anorexia,Possible heart murmur,Tachycardia,Bounding pulses,Possible Jaundice and hemoglobinuria,Petechiae,,,,,,
Pyothorax,male,common,fever,Vomiting,Diminished activity,Collapse,Weight loss,Temporary improvement with antibiotic therapy,Firm,Tachypnea,may be mild and not associated with respiratory difficulty,Cachexia,Coughing,Pyrexia,Thoracic auscultation,may reveal muffled heart sounds,reduce breath sound
Anemia - Iron-Deficiency,both,common,Weakness,Anorexia,Weakness,Lethargy,Depression,Rapid breathing,Increased susceptibility to disease,Dark-colored tarry stools,,,,,,,
Myopathy - Focal Inflammatory ,both,common,Masticatory,Chronic,inability to pick up a ball or get food into the mouth,acutely Swollen muscles,progressive Muscle atrophy,Extraocular Bilateral exophthalmos,marked jaw pain with manipulation and trismus,acute muscle swelling with exophthalmos,Muscle atrophy with enophthalmos,anesthesia,Bilateral exophthalmos,,,,
OsteosarComa,both,five,Bone pain or tenderness,A mass that can be felt through the skin,Swelling and redness at the site of the tumor,Increased pain with lifting,Limping,Limited movement,Broken bone,,,,,,,,
Hypermagnesemia,both,common,Nausea,Vomiting,Weakness,Lowered heart rate,Paralysis,Depression,Poor reflexes,Depression,Cardiac arrest,Coma,,,,,
Encephalitis,both,five,Fever,Seizures,Tremors,Blindness,Loss of coordination,Pain,Paralysis,Behaviour changes,Circling,Head tilt,,,,,
Leukemia - Acute Lymphoblastic ,both,common,Anorexia,Weight loss,Lethargy,HepatoSplenomegaly,Mild to moderate lymphadenomegaly,Petechial or ecchymotic Hemorrhages,,,,,,,,,
Battery Toxicosis ,both,common,Abdominal pain,Black tarry feces,Difficulty swallowing,Drooling,Fever,Increase in white blood cells,Lack of appetite,Lethargy,Mouth pain,Ulcers in the mouth,Ulcers on tongue,Vomiting,Oral Ulcerations,Bad breath,
Sporotrichosis,both,common,Lesions,crust over,Fever,Malaise,Licking at the site,Loss of Appetite,,,,,,,,,
Uveal Melanoma ,both,common,Pigmented scleral or corneal mass,Pigmented mass visible,Irregular pupil,Uveitis,GlauComa,Hyphema,No Vision loss unless mass,,,,,,,,
Submissive and Excitement Urination,both,five,Incompletely housetrained,Dogs with separation anxiety,Urinates during greetings,Dog appears unaware of urination,Urinates when excited,Submissive Urination,Puppies and fearful or shy adults,Previously Traumatized dogs,Previously abused dogs,Urinates during greetings and scoldings,Urinates in response,Urinates while making submissive gestures,,,
Encephalitis,both,five,Fever,Seizures,Tremors,Blindness,Loss of coordination,Pain,Paralysis,Behaviour changes,Circling,Head tilt,,,,,
Exocrine Pancreatic Insufficiency,both,common,stomach problems,Weight loss,Diarrhea,Weight loss,Lethargy,Loud rumbling sounds from the stomach,Frequent bowel movements,Frequent gas,,,,,,,
Sebaceous Adenitis Granulomatous,both,five,Follicular casts or fronds,Scaling,Alopecia,Pruritus,Papules,Dorsal muzzle,Alopecia,Scaling,Hairs may be brittle,Matted hair or Straighter hair or loss,Alopecia,Ears or head and trunk affected,Annular to coalescing,Adherent scale,Otitis externa
Nocardiosis ,both,common,Depends on the site of infection,Pleural,pyothorax,resulting in dyspnea,Fever,Cutaneous,Chronic,Non-healing wounds,often accompanied by fistulous tracts,may result in lymphadenopathy,Lymph node,Disseminated,Weight loss,fever,Depression
Cuterebriasis ,both,common,Dermatologic,warble containing bot,Neurologic,ataxia,circling,paralysis,Blindness,recumbency,Lesions,larva in conjunctiva,Respiratory,,,,
Rodenticide Toxicosis?Bromethalin,both,common,Lethargy,decreased consciousness,Weakness,hind limb paralysis,Tremors,Seizures,Coma,,,,,,,,
Adenocarcinoma - Skin ,female,common,Firm,raised,Lesions,Bleeding,Apocrine sweat gland,Sebaceous gland,,,,,,,,,
Blood Transfusion Reactions ,both,common,Restlessness,Fever,Tachycardia,Vomiting,Tremors,Weakness,Incontinence,Collapse,Shock,Oliguria,Loss of transfusion efficacy,,,,
Alopecia - Non-inflammatory,both,five,Alopecia,Hair coat,Secondary seborrhea,Pruritus,pyoderma,comedones,Enlargement of nipples,mammary glands,Macular melanosis and linear preputial dermatitis,Tail gland hyperplasia,Systemic signs,,,,
Dermatoses-Erosive or Ulcerative,both,common,Erosions,Hair loss,Lesions,Lesions,Lesions,Dried discharge on the surface of a skin lesion,Loss of pigment in skin and hair,,,,,,,,
Joint Luxations,both,common,Lameness,reluctance to walk or jump,pain when touching or moving the joint,swelling or Warmth of the joint,persistent licking at the joint,Decreased appetite,decreased activity,,,,,,,,
Car Ride Anxiety ,both,common,Signs of fear and anxiety vary between individuals,Pacing,Restlessness,Inappetance,vigilance,excitability,Vocalization,Distress Vocalization,,,,,,,
Anemia of Chronic Kidney Disease,both,common,Weight loss,Poor appetite,Lethargy,Lack of stamina,Weakness,Rapid heart rate,Rapid breathing,Paleness of mucus membranes,Blood in the stool,Excessive drinking and urination,,,,,
Brachial Plexus Avulsion ,both,common,Horner,Syndrome,Paralysis of a limb,Difficulty controlling a limb,Limbs dragging,Not putting weight on a limb,Lack of pain,,,,,,,,
Mucopolysaccharidoses ,both,common,Severe bone disease,hip subluxation,Corneal clouding,illness,Large tongue,Thickening of the heart valves,Excess urinary excretion of GAG,Metachromatic granules in blood leukocytes,locomotor difficulty is progressive,head or neck usually painful,,,,,
Atrial Septal Defect ,both,common,Cyanosis,Exercise intolerance,Syncope,Coughing,dyspnea,Soft systolic murmur over the pulmonic valve,Rarely a diastolic murmur,,,,,,,,
Myelodysplastic Syndromes ,both,fifteen,Lethargy,Exercise intolerance,Depression,Anorexia,Fever,Pale mucous membranes,Heart murmur due to anemia,,,,,,,,
Pneumonia-Eosinophilic,both,ten,Coughing unresponsive to antibacterial therapy,Labored breathing,Exercise intolerance,Anorexia,Lethargy,Weight loss,Nasal discharge,Fever,Harsh,moist Coughing,Tachypnea,Abnormal breath sounds,crackles,wheezes,difficult to breath
Infertility-female,female,ten,False pregnancy due to an ovarian cyst,Metabolic hypothyroidism,Uterine infections,Increased swelling of vulva,Decreased Bleeding,Irregular ovarian cycles,Split heats,Hypoluteoidism,Failure to cycle,Refusal to breed,,,,,
FibrosarComa-Nasal and Paranasal Sinus,both,common,Mucus discharge,Abnormal tear development,Pain in or around the nasal cavity,Sneezing,Pawing at the muzzle,Lack of appetite,Bad breath,Seizures,Loose teeth,Facial deformity,,,,,
Tapeworms,both,common,Weight loss,Lethargy,Distended abdomen,Vomiting,Diarrhea,Dull coat,Visual evidence of tapeworms,,,,,,,,
Dysautonomia,both,five,Vomiting,Dilated pupils,Low or absent anal tone,Diarrhea,Straining,Difficulty urinating or defecating,Distended bladder,Decreased tear production,Protrusion of third eyelid,,,,,,
Uveodermatologic Syndrome ,both,five,precede dermatologic,Sudden onset Uveitis,Secondary changes include glauComa,Cataracts,Blindness,nose and lips and eyelids,Depigmented nasal planum,striking leukotrichia,Neurologic symptoms,,,,,,
Gastric Dilation and Volvulus Syndrome,both,common,Vomiting,Anxious behavior,Abdominal pain,Abdominal distention,Collapse,Lethargy,Drooling,,,,,,,,
Pulmonary Edema- Noncardiogenic,both,common,Predisposing causes airway obstruction,electric cord bite,Seizures,head Trauma,near drowning,smoke exposure,adverse drug effects,Acute onset of dyspnea,Mild to severe dyspnea,Increased respiratory rate and effort,open-mouthed breathing,Postural adaptations to Respiratory distress,Unwillingness to lie down,cyanotic mucous membranes,noise breathing
Lead Toxicosis ,both,five,Vomiting,Diarrhea,Anorexia,Abdominal pain,Lethargy,Hysteria,Seizures,Blindness,,,,,,,
Intervertebral Disc Disease-Cervical,both,common,Stiff neck with reluctance,Neck Pain,Altered gait,muscle spasms,Partially paralyzed in all four limbs,,,,,,,,,,
Joint Luxations,both,common,Lameness,reluctance to walk or jump,pain when touching or moving the joint,swelling or Warmth of the joint,persistent licking at the joint,Decreased appetite,decreased activity,,,,,,,,
Sinus Bradycardia,female,common,Lethargy,Getting too exhausted during exercise,Slow breathing,Loss of muscle coordination,Seizures,Fainting,,,,,,,,,
Melanocytic Tumors - Skin and Digit ,both,common,Skin mass with variable growth rates,Solitary,Lameness,Lymph node,diffuse pulmonary metastasis,,,,,,,,,,
Hepatitis-Infectious Canine,both,five,Lack of appetite,Fever,Lethargy,Vomiting,Diarrhea,Hepatomegaly,Abdominal pain,Runny eyes and nose,Coughing,Excessively thirsty,,,,,
Zinc Toxicosis ,both,common,Anorexia,Vomiting,Diarrhea,Lethargy,Pale or icteric mucous membranes,Hemoglobinemia,Hemoglobinuria,Orange-tinged feces,Tachycardia,,,,,,
Hemoglobinuria and Myoglobinuria,male,common,Blood in urine,Bruises and pain,Lack of energy,Loss of Appetite,Weight loss,Yellowing of the skin and eyes,Lethargy,,,,,,,,
Mast Cell Tumors ,both,common,Lipomas,Regional edema,lymphadenopathy,intermittent,Systemic illness,Vomiting,Anorexia,Weight loss,,,,,,,
Polycythemia,female,ten,Transient excitement or vigorous exercise,Lethargy,Anorexia,epistaxis,Seizures,hyperemia of mucous membranes,Vomiting,Diarrhea,low exercise tolerance,behavioral change,brick red or cyanotic mucous membranes,Sneezing,Bilateral epistaxis,Vision loss,Vomiting
Adderall Toxicity,both,common,Drooling,Vomiting,Diarrhea,Panting,Agitation,Aggression,Sedation,Hypertension,Tremors,Seizures,Elevated heart rate,,,,
Thymoma,both,fifteen,Difficulty swallowing,Exercise intolerance,Swelling of the face,,,,,,,,,,,,
Bile Duct Carcinoma ,female,ten,Lethargy,Lack of appetite,Weight loss,Excessive urination,Excessive thirst,Vomiting,yellowing of skin eyes,Ascites or fluid accumulation,Anorexia,Polydipsia and polyuria,Icterus,Abdominal distension,,,
Atrioventricular Block - First Degree,both,common,Light-headedness,muscular Weakness,loss of consciousness,Rapid heart rate,Fatigue,Lethargy,Slower heart rate,Heart failure,,,,,,,
Intussusception,both,five,Diarrhea,Vomiting,Decreased appetite,Bloody,Hunched back,Crying,,,,,,,,,
Histoplasmosis,both,five,Diarrhea,Loss of Appetite,Weight loss,Fever,General tiredness,Blood in stool,Difficulty defecating,Swelling,Ulcerated throat,Moist sores,Eye infections,Joint pain,Not wanting to exercise,,
Pediatric Behavior Problems and trainning ,male,five,PlayBiting,The pet bites hands or legs and clothing,Bites are usually inhibited,Growling,spontaneous,Getting on Counters or Furniture,The pet gets on furniture and counters,furniture during play to get attention or to rest,,,,,,,
Anemia - Immune-Mediated,female,ten,Weakness,Anorexia,Exercise intolerance,tachypnea,Vomiting,Dark red urine,,,,,,,,,
Schwannoma,both,fifteen,Lack of muscle control,Atrophy,Difficulty walking,Drooping eye,Weakness,Pain,Swelling,,,,,,,,
Fears and Anxiety,both,five,Pacing,Posturing with flattened ears,Cowering and hiding,Hair raised on the back of the neck,Drooling,Trembling,Panting,Whining or whimpering,Yawning,Dilated pupils,Excessive grooming,Chronic,Chewing on objects,Incontinence of bowels or urine,Growling
Canine Parvovirus Infection ,both,common,Diarrhea,Anorexia,Vomiting,Weight loss,shock-like state,In breeding kennels,several littermate pups,minimal,Dehydration,abdominal discomfort,Often there is severe hemorrhagic diarrhean,Fluid-filled intestinal,Vomiting,fever,
Leukemia - Acute Lymphoblastic ,both,common,Anorexia,Weight loss,Lethargy,HepatoSplenomegaly,Mild to moderate lymphadenomegaly,Petechial or ecchymotic Hemorrhages,,,,,,,,,
Food Reactions-Dermatologic,both,ten,Vomiting,Diarrhea,Dermatologic,Itchiness,Poor skin,Chronic,Foot infections,Erythema,,,,,,,
Urinary Retention - Functional ,both,common,abnormalities of voiding dysfunction,Frequent attempts to urinate,straining to urinate or not voiding,Attenuated,interrupted or prolonged urine stream,Urinary leakage,Vomiting,Lethargy,Painful abdomen,,,,,,
Legg-Calve-Perthes,both,five,Lameness,weight-bearing occasionally leg is carried,Pain on manipulation of the hip,Crepitation of the joint,Atrophy of the thigh muscles,,,,,,,,,,
Sago Palm Toxicosis,both,common,Vomiting,Diarrhea,Drooling,Weakness,Lethargy,Lack of appetite,Depression,Seizures,Jaundice,Fluid accumulation in the abdomen,Blood in stool,Blood in urine,Bruising,Nose bleeds,
Hypomyelination,both,ten,Inability to walk or stand,Incoordination,Shaking,Tremors that worsen with activity,Difficulty running or jumping,Lameness,Incontinence,Lack of coordination,Muscle wasting,Odd gait,Partial paralysis,Sores on top of the feet,,,
Necrotizing Encephalitis ,both,common,Progressive signs related to a forebrain lesion,Abnormal behavior,Seizures,circling,Blindness,Lesions,multifocal lesion,,,,,,,,
Atrioventricular Valve (Myxomatous) Disease ,male,ten,Systolic click,Systolic murmur best heard over,loud holosystolic,louder and radiates more widely,echocardiographic changes,loud heart murmur,Tachycardia,Arrhythmia and pulse deficit,Weak femoral pulse,prolonged capillary refill,,,,,
Nonsteroidal Anti-Inflammatory Drug Toxicosis ,both,common,Fever,Lethargy,Anorexia,Vomiting,Diarrhea,Icterus,Melena,secondary to a perforated gastric ulcer,Polyuria,Polydipsia and Oliguria,Ataxia,Seizures,Depression,Pale mucous membranes,Painful abdomen
Head Pressing,both,common,head against stable objects,ExhiBiting reduced reflexes,Compulsive Pacing,excessive Pacing,Seizures,Strong changes in behavior,Visual problems,,,,,,,,
Myopathy - Noninflammatory - Hereditary Muscular Dystrophy ,both,common,Exercise intolerance,stilted gait,bunny-hopping pelvic limb gait,plantigrade stance,partial trismus,Muscle atrophy,hypertrophy of some muscles especially the tongue,kyphosis,Lordosis,Drooling,dysphagia,aspiration pneumonia,Vomiting,Stunting,Coughing
Eosinophilic Granuloma Complex,male,five,Rapid onset,Nasal and muzzle swelling,Pain,Exudation,Large and Swollen erythematous lesions,Bumps and nodules on the body,,,,,,,,,
Myopathy - Focal Inflammatory ,both,common,Masticatory,Chronic,inability to pick up a ball or get food into the mouth,acutely Swollen muscles,progressive Muscle atrophy,Extraocular Bilateral exophthalmos,marked jaw pain with manipulation and trismus,acute muscle swelling with exophthalmos,Muscle atrophy with enophthalmos,anesthesia,Bilateral exophthalmos,,,,
Exocrine Pancreatic Insufficiency,both,common,stomach problems,Weight loss,Diarrhea,Weight loss,Lethargy,Loud rumbling sounds from the stomach,Frequent bowel movements,Frequent gas,,,,,,,
Dermatoses-Sterile Nodular,both,five,Occasionally painful,Fever,Inappetence,Lethargy,Multiple lesions,,,,,,,,,,
Cognitive Dysfunction Syndrome ,both,ten,acronym DISHA,Disorientation,Confusion,Depression,Interactions with humans,Sleep-wake cycle alterations,including night waking,Vocalization or increased sleep during the day,behaviors might deteriorate,exploration self-care or even eating,Restlessness,Pacing,aimless wandering,licking,behavior changes
Lysosomal Storage Diseases ,both,common,,Vary with severity of the enzyme deficiency,predominate,Affected animals are normal at birth,mucopolysaccharidoses,Neurologic,,,,,,,,,
Blind Quiet Eye ,both,ten,Bumping into things,Unwillingness,Unresponsive to movements,around the house,Bumping into objects,Clumsy behavior,Reluctance to move,Impaired vision in dim light,,,,,,,
Osteochondrodysplasia,both,common,Short legs,Large head,Long body,Smaller nose,Bulging eyes,Underbite and crooked teeth due to shorter jaw,Feet turned outward,Sticking out tongue,Deformed bones,Slow growth,Shorter bones than normal,Inflammation of joints,Bowed legs,Curved spine,
Electric Cord Injury,both,five,Oral Ulcerations on the tongue,Singeing of the fur,Coughing,Abnormal rapid breathing,Open mouthed breathing,Blue tinged mucus membranes,Crackling sound when breathing,Excess salivation,Difficulty swallowing,Not wanting to lie down,,,,,
Hip Dysplasia,both,five,Stiffness,Exercise intolerance,Difficulty rising,Difficulty climbing stairs,Abnormal gait,Limping on one or both hind limbs,Pain,,,,,,,,
Intervertebral Disc Disease-Cervical,both,common,Stiff neck with reluctance,Neck Pain,Altered gait,muscle spasms,Partially paralyzed in all four limbs,,,,,,,,,,
