Symtom,Count
Sleepiness,1230
Muscle wasting,1231
Exhaustion,1232
Swollen metaphyses,1233
Face rubbing against objects,1234
Trembling,1235
Tremors that worsen with activity,1236
Less alert,1237
Irregular or no heat cycles,1238
Eye discoloration,1239
pale or gray gums,1240
cold intolerance,1241
Thin ribbon like stool,1242
Painful ejaculation,1243
Changes in behavior,1244
muscle spasms,1245
Bloody stool,1246
Mild sensitivity to bright light,1247
open sores,1248
Drooping eye,1249
loss of consciousness,1250
Digging and Destruction,1251
appear pale,1252
Lack of normal sexual organs,1253
Very low blood pressure,1254
Breathing trouble,1255
Loss of muscle coordination,1256
Lack of tears,1257
Alteration of mental state,1258
Overextended pelvic limbs,1259
Malaise,1260
Limping or signs of pain when walking,1261
Sores on the ear that slowly get bigger,1262
Foul breath,1263
Excessive itching or chewing or licking,1264
sometimes containing blood,1265
Reduced growth in puppies,1266
Stumbling or running into objects,1267
Dog appears unaware of urination,1268
Abrupt and complete recovery,1269
Ulcerated sore in affected area,1270
Crying out while moving,1271
Icterus,1272
Hematuria pale mucous membranes,1273
Apocrine sweat gland,1274
change in bark,1275
Muscle twitching,1276
Crusting and inflammation of the skin,1277
pyoderma,1278
Refusing food,1279
Perianal Pruritus,1280
Nosebleeds from no known cause,1281
Exposure to oxidant,1282
Possible heart murmur,1283
Pain in the mastication muscles,1284
Hypertension,1285
Reluctance to run or jump or play,1286
Facial pain,1287
fungal discospondylitis causing paraparesis,1288
Stumbling or swaying,1289
Irregular heart rhythm,1290
Muscle wasting,1291
Increased heart rate,1292
holosystolic murmur,1293
echocardiographic changes,1294
intradermal raised mass,1295
Vague cranial abdominal discomfort,1296
Eyelid hyperemia,1297
Bumping into objects,1298
Limbs dragging,1299
Neck or Head Pain,1300
Vaginal discharge-less color and amount,1301
Abortion,1302
mycoplasmal,1303
shock-like state,1304
vigilance,1305
Polyuria,1306
Lack of menace responses with normal,1307
underlie hemorrhagic,1308
Neck Pain,1309
low or no incidence of the mit,1310
Bloody oral discharge and oral pain,1311
Ascites,1312
4?6 weeks that may persist for months to years,1313
Blood loss anemia,1314
abdominal discomfort,1315
Interactions with humans,1316
Dry,1317
fears,1318
Signs vary with spinal cord segment involved,1319
relieved by assuming a standing,1320
stool,1321
Extreme erythroderma stops abruptly at the hairline,1322
Initial signs,1323
Neurologic signs if caused by neurologic disease,1324
Calcium dense white to crystalline regular,1325
Bilateral exophthalmos,1326
spermatic cord,1327
Carpal and tarsal,1328
thickened and depigmented third eyelids,1329
Owners may report the appearance of a film,1330
Corneal changes,1331
Severely acidotic,1332
Bilateral hindlimb,1333
Atrophy of the thigh muscles,1334
Flatulence,1335
phacodenesis,1336
may spread particular serovar via urine,1337
Mild to moderate Lymphadenomegaly,1338
Lymphadenomegaly,1339
Polyuria and Dehydration,1340
abdominal cavity,1341
urgent need to urinate,1342
walk stiffly,1343
Subcutaneous edema,1344
temperature of affected area is normal,1345
mucopolysaccharidoses,1346
Hyperpigmentation and Lichenification,1347
arising in subcutaneous tissue,1348
diffuse edematous,1349
Excessive Maternal Behavior,1350
oral or nasal Bleeding,1351
diffuse pulmonary metastasis,1352
Elevated ICP,1353
Salivation,1354
hypothermia,1355
Large tongue,1356
gingiva and Epistaxis,1357
Progressive,1358
combined mushroom,1359
pulmonary system,1360
HepatoSplenomegaly,1361
distemper diagnosis,1362
progressive Muscle atrophy,1363
Muscle biopsy needed to conFirm the diagnosis,1364
Dysphonia,1365
partial trismus,1366
pelvic limbs flexed tightly against the body,1367
usually aroused by loud noises,1368
Vesicles or Pustules,1369
noisy breathing especially when animal is sleeping,1370
failure to receive response,1371
Decreased activity,1372
lower urinary tract,1373
diagnostic imaging,1374
Loss of menace responses,1375
Injected mucous membranes,1376
Papules and crusts develop on pinnae,1377
Exudate usually a small amount of oily discharge,1378
may affect the hind limbs,1379
femoral pulses absent,1380
Cutaneous flushing,1381
Paraphimosis,1382
Petechiae or ecchymoses,1383
patella can be manually displaced,1384
Spontaneous,1385
Perineum stained or soaked with urine,1386
erosions,1387
high central venous pressure,1388
Infectious agents such as ticks or other arachnids,1389
Mild Lethargy,1390
single worm,1391
Open mouth breathing,1392
thoracotomy,1393
hookworms,1394
Polyps originating,1395
History of unexplained loss of pregnancy,1396
Dramatic initial response,1397
Corneal Ulceration or desiccatio,1398
Dysuria if the cyst compresses the urethra,1399
Pyrexia,1400
pollakiuria,1401
deafnes,1402
Self-Trauma and cutaneous inflammation,1403
chew only on the unaffected side,1404
near drowning,1405
Affected skin is usually painful,1406
staphylococcal Infection itself,1407
with open cervix may not be palpably enlarged,1408
Systolic heart murmurs reported in dogs,1409
GI Pythiosis,1410
Recent estrus with pyometra,1411
Urinary,1412
vulvar licking,1413
Irregular rhythm associated with pulse deficits,1414
right hemithorax,1415
Collapse,1416
Pelvic and appendicular bone fractures,1417
vaginal Hemorrhage,1418
In the rarely affected dogs,1419
eggs detectable in feces,1420
Pale or icteric mucous membranes,1421
refusal to move,1422
lethary,1423
mydriatic and nonresponsive pupil,1424
Chews only on one side,1425
Ptyalism,1426
Bulging eyes,1427
the medial aspect of the humeral condyle,1428
Rolling,1429
Dry eyes,1430
Feces may have mucus,1431
Watery tearing eyes,1432
Nocturia,1433
Neglect of Offspring,1434
only central vision may be lost,1435
Lack of scent ability,1436
an Infection of the nostrils with a cauliflower-like growth,1437
Unwillingness to eat,1438
Belly pain,1439
interrupted or prolonged urine stream,1440
frequent trips to the litter box,1441
urocystoliths,1442
sometimes small or smooth uroliths are voided,1443
Complete outflow obstruction may result in azotemia,1444
may deliver part of litter and then stop,1445
abdominal organ compression,1446
GlauComa,1447
Deformed mouth or face,1448
Wobbly legs,1449
Pawing at the mout,1450
Be difficult to rouse from sleep,1451
teeth overcrowding,1452
Feet scraping on the ground when walking,1453
Crusting on the skin,1454
Rash is usually on the head or neck,1455
Ulceration of the skin or loss of some of the skin,1456
Accumulations hair coat,1457
Lumps,1458
Multiple lesions,1459
Flaking skin,1460
Incontinence?occasional,1461
Muffled lung sounds,1462
Straining when having bowel movement,1463
Gaseous sounds from the gut,1464
Lethargy,1465
Pale gums and other mucous membranes,1466
Weak pulse,1467
Straining,1468
Swallowing,1469
Nervousness,1470
Recurrent urinary tract Infections,1471
Pink eye,1472
Abnormal Bleeding,1473
Swollen and puffy elbows,1474
Open mouthed breathing,1475
Nutritional deficiencies,1476
Loss of coordination,1477
Head pressing,1478
High systolic blood pressure,1479
Large and Swollen erythematous lesions,1480
Skin Infection,1481
The appearance of the skin around the nose,1482
Signs of pain while swallowing food,1483
Pawing at eye,1484
food fall out of the mouth,1485
Pain in the abdomen,1486
Escape behaviors,1487
Pain in a specific area,1488
Pawing at the muzzle,1489
Poor skin,1490
Excess gas or Flatulence,1491
Compulsive eating,1492
Appearing lethargic,1493
Black stool,1494
Blood in the stool,1495
Low appetite,1496
Mass can be felt in the stomach,1497
Increased water consumption,1498
Lesions-red or purple spots on the skin,1499
Soreness,1500
Shallow breathing,1501
Abnormal gait,1502
Muscle spasms,1503
General tiredness,1504
Vision may be impaired,1505
Stomach disorders,1506
Signs of uremia,1507
Altered level of consciousness,1508
Persistent Hyperventilation,1509
Urinary tract or kidney Infection,1510
Pancreatitis,1511
Paralysis,1512
Loss of the menace response,1513
Confused and disoriented,1514
Breathing difficulty,1515
Spitting up blood from the lungs,1516
Fever-as high as 106� F,1517
Failure to gain weight,1518
Eye pain,1519
Swollen limbs,1520
Stiff gait,1521
Hyperreflexia,1522
Difficulty running or jumping,1523
Dry and rough skin,1524
stumbling or lack of coordination,1525
dry and dull hair with excessive shedding,1526
Blue or purple tint to the skin,1527
Lack of stability when walking,1528
Absence of intestinal noise,1529
Decreased Bleeding,1530
Spermatic cord torsion,1531
Partially paralyzed in all four limbs,1532
Hunched back,1533
Holes in the iris,1534
persistent licking at the joint,1535
Secondary bacterial Infections,1536
Escaping,1537
Genital irritation,1538
Chest pain from angina,1539
Lack of saliva,1540
Blister,1541
Depressed proprioception,1542
Licking at the site,1543
ear tips may disappear,1544
extra tissue growth in legs,1545
reddened or Swollen gums,1546
Pneumonia in puppies,1547
Tendency or desire to sleep,1548
Urinates when excited,1549
Pale mucus membranes,1550
Pain in the nose,1551
malabsorption syndrome,1552
Sebaceous gland,1553
Scaly skin,1554
comedones,1555
Dry spots or sores on the nose and legs,1556
Pawing at the mouth or face,1557
Hesitancy to defecate,1558
Dark red urine,1559
Growths near the eye,1560
Pain in the temporomandibular joint,1561
Systolic left basilar ejection murmur,1562
Polydipsia,1563
Weight gain,1564
Localized joint heat,1565
Ipsilateral mandibular lymphadenopathy,1566
paraplegia,1567
Loss of conscious proprioception,1568
increased muscle tone,1569
Lichenification,1570
Cardiac murmur,1571
Soft systolic murmur over the pulmonic valve,1572
Weakened pulse,1573
Pale or blue tint to gums and tongue from low oxygen levels,1574
thrill or gallop heart sounds,1575
loud heart murmur,1576
Splenomegaly,1577
Heart murmurs or arrhythmias,1578
Increase in white blood cells,1579
recumbency,1580
Ribbon-like stools,1581
Acholic feces unless enteric Bleeding,1582
Endotoxic shock,1583
Licking his lips,1584
Clumsy behavior,1585
Not putting weight on a limb,1586
Restless,1587
Flagging,1588
the infecting agents,1589
In breeding kennels,1590
excitability,1591
biventricular failure with VPCs,1592
Systolic heart murmur,1593
Absence of audible heart sounds,1594
vision and pupillary light reflexes,1595
wide-base stance,1596
Inactive (scars) discrete margin,1597
precipitated during or shortly,1598
Prolonged Bleeding if provoked,1599
Sleep-wake cycle alterations,1600
gangrenous necrosis of ear tipsor and tail tip and nose and feet,1601
cold skin,1602
sternal,1603
mucopurulent,1604
stiff,1605
Hemorrhage,1606
superficial stroma,1607
Feminizing paraneoplastic syndrome,1608
Pneumonia,1609
hyperextension when stressed,1610
leading edge of corneal lesion,1611
over the eye,1612
dryness,1613
forequarters carried lower to shift weight forward,1614
iridonesis,1615
may have no clinical signs or less severe disease,1616
Petechial or ecchymotic Hemorrhages,1617
Front limbs are more severely affected than hind limbs,1618
leads to anuric renal failure,1619
Extremely painful bite site,1620
urinating in inappropriate locations,1621
Abnormal tail carriage,1622
rarely severe Hemorrhage from arteriole damage,1623
Pitting quality lost with chronicity as Fibrosis occurs,1624
Neurologic,1625
Concurrent black waxy to seborrheic otitis,1626
underlying skeletal muscle,1627
glazed eyes,1628
Warm and painful,1629
inability to properly close the jaw,1630
Nasal discharge with aspiration pneumonia,1631
Oral mass often friable,1632
demonstrate Epistaxis,1633
cerebral edema or brain herniation,1634
Nephritis progressing to renal failure,1635
Thickening of the heart valves,1636
Funduscopic abnormalities,1637
Painless,1638
gastrointestinal system,1639
Extraocular Bilateral exophthalmos,1640
Some improvement with rest.,1641
Facial muscles may be contracted,1642
Esophageal and pharyngeal abnormalities,1643
exudate of ungual fold,1644
petting or other external stimuli,1645
Generally non-responsive to antibiotics,1646
Response to previous antibiotic therapy,1647
Constantly vocal or restless or quiet and inactive later,1648
progresses to rigid contracture of limbs,1649
dogs may develop acute dyspnea,1650
brainstem involvement,1651
weak pulses,1652
Cutaneous,1653
Progresses to the legs and feet and perineum,1654
yellow-brown to bloody,1655
Lower airway disease,1656
may interfere with prehension,1657
limbs often cold,1658
Diencephalic syndrome,1659
urethral obstruction,1660
Blindness or retinal Hemorrhage,1661
extends the stifle joint,1662
Signs usually precipitated by or worsened by exercise,1663
Getting on Counters or Furniture,1664
urine scalding,1665
MalOdorous mucopurulent anal discharge,1666
noticeable weakening,1667
Unexplained weight gain may be noted initially,1668
Gagging and varying degrees of dyspnea,1669
concurrent lymphedema,1670
female-only Infections,1671
Cachexia,1672
Papules and cutaneous nodules,1673
end inspiratory and early expiratory crackles,1674
mechanical ventilation,1675
atopic dermatitis,1676
hyperemia of mucous membranes,1677
Dilated and tortuous retinal blood vessels,1678
exocrine pancreatic insufficiency,1679
surround the ureteral orifice,1680
pica,1681
Bilateral mucopurulent Nasal discharge,1682
Periocular bite wounds,1683
Sanguineous urethral discharge in the presence of BPH,1684
Pain at prostatic or caudal abdominal palpation,1685
dependent edema,1686
maintain an unusual head or neck position,1687
Auscultation of harsh bronchovesicular sounds or crackles,1688
smoke exposure,1689
Systolic murmur loudest over the left heart base,1690
may not be pruritic if associated with hypercortisolemia,1691
Furunculosis,1692
Temporary improvement with antibiotic therapy,1693
Icterus is occasionally seen in cats but rarely seen in dogs,1694
Emaciation,1695
Hemorrhagic discharge,1696
Previous occurrence,1697
incontinence,1698
dystocia,1699
Ulceration,1700
may auscult splitting of the first or second heart sound,1701
pulmonic stenosis heard over the left heart base,1702
arrhythmia is paroxysmal,1703
Cutaneous wounds,1704
irregular eye movements,1705
gingival Hemorrhage,1706
Hemoglobinemia,1707
feel dog ribs,1708
drooling,1709
corneal adhesions,1710
anisocoria if Unilaterally affected,1711
Oral mass,1712
Underbite and crooked teeth due to shorter jaw,1713
the femoral condyles,1714
Limited movement,1715
increased discharge,1716
Tail deviation and treading the hind limbs,1717
Irritability or difficulty concentrating,1718
cortical Blindness,1719
Dog whimpers,1720
Red mass appearing from under the eyelid,1721
abnormal reactions to light,1722
Enlarged eyes,1723
a polyp or other growth located near or on the nostril,1724
Fluid in the abdomen,1725
Low energy,1726
Dull coat,1727
Ureteral rupture,1728
self-induced Trauma from licking,1729
Urinary leakage,1730
Excessive or inappropriate,1731
voiding of small smooth uroliths,1732
fetal heart rates decline with delay in intervention,1733
Hyphema,1734
nose and lips and eyelids,1735
Moderate to severe Blindness,1736
Whining when eating,1737
Urinary Bleeding,1738
Digging,1739
Muscle inflammation,1740
Often they are easily startled,1741
passageway mouth and nasal cavity,1742
Abnormally worn toenails,1743
Dried discharge on the surface of a skin lesion,1744
Filling of hair follicles with oil and skin cells,1745
discolored skin,1746
Redness,1747
Scaling skin,1748
Muffled heart sounds,1749
Intestinal sounds,1750
Black and tarry stool,1751
Choledochal cyst,1752
Hard feces,1753
Pawing at the eye,1754
Blue tinged mucus membranes,1755
One or more discolored teeth,1756
Loss of muscle movement in the face,1757
General malaise,1758
Eye redness,1759
Bumps and nodules on the body,1760
Abnormal masses in the scrotum,1761
translucent inner eyelid,1762
Increased whining or crying,1763
Pink and raised growth,1764
Unable to finish eating,1765
Loud rumbling sounds from the stomach,1766
Exaggerated yawning,1767
Stops using affected limb altogether,1768
Straining when passing stools,1769
Disinterest in food,1770
Fluttering eye lid,1771
Lack of appetite,1772
Strong changes in behavior,1773
Swollen belly,1774
Irregular heart rate,1775
Lumps on or directly under the skin,1776
Partial loss of muscle control,1777
Yellowing of the skin and eyes,1778
Low tolerance to exercise,1779
Gastrointestinal Bleeding,1780
Limping on one or both hind limbs,1781
Blood in stool,1782
Itchy paws,1783
Licking the genital areas,1784
Thin or fragile skin,1785
Formation of bladder or kidney stones,1786
Complete loss of consciousness,1787
Infections,1788
Bloodshot eyes,1789
Creamy appearance of blood vessels,1790
Unequal pupil size,1791
Decreased bone density,1792
unsteadiness,1793
Plantigrade,1794
Severe Muscle pain,1795
Coarse hair that breaks easily and can fall out,1796
Mental deterioration,1797
Excessive Squinting,1798
fixed and Dilated pupils,1799
very thin to nearly bald hair coat,1800
Fast heart rate,1801
More frequent urination,1802
Heart failure,1803
Agitated state,1804
Pain within the joints,1805
Loss of muscle tone in the anal area,1806
Irregular ovarian cycles,1807
Gas,1808
Disturbance of vision,1809
Crying,1810
Fixed and dilated pupil,1811
chomping,1812
hyperpigmentation of the skin,1813
Infertility,1814
Low blood pressure,1815
Hyperventilation,1816
Bounding pulses,1817
Sudden death,1818
Fainting,1819
Foaming at the math,1820
Changes in spinal reflexes Muscle twitches,1821
Drunken gait,1822
Bruised,1823
Scoliosis,1824
Weight los,1825
Loss of Appetite,1826
ear may become malformed,1827
Loss of Appetite,1828
Blood tinged saliva,1829
Infections of the eyes,1830
reluctance or difficulty eating,1831
Difficult to rouse from sleep,1832
Submissive Urination,1833
Hearing loss,1834
most are non-painful and non-pruritic,1835
Obstructive masses in the animal's nose,1836
Exercise intolerance,1837
dysphagia exophthalmus,1838
Flatulence,1839
Increased amount or frequency of urination,1840
Enlargement of nipples,1841
Oral mucus membranes,1842
Hyperglycemia,1843
Severe dental disease,1844
Increased heart rate or a weak pulse,1845
Increased susceptibility to disease,1846
Excessive rubbing of eye or face,1847
Hypothyroidism,1848
Dementia,1849
Bounding pulses,1850
Irritability or changes in behavior,1851
Decreased range of motion,1852
spinal pain,1853
Cranial nerve abnormalities,1854
dry seborrhea and hyperhidrotic,1855
Gallop rhythm,1856
Rarely a diastolic murmur,1857
Heart murmurs,1858
Breathing troubles (too fast or too slow),1859
Slower heart rate,1860
soft diastolic murmur,1861
arterial thromboembolism,1862
membranes around the heart and brain,1863
frequently heavily pigmented,1864
Prostatic pain,1865
Coma,1866
apprehension,1867
yellowing of skin eyes,1868
Bleeding tendencies,1869
thickening,1870
Lack of pain,1871
Difficulty eating and swallowing,1872
Unsteady,1873
Fully cornified and crenulated,1874
particularly with primary ciliary dyskinesia,1875
ileus,1876
Inflammation around catheters tubes,1877
several littermate pups,1878
more rarely Melena and borborygmus,1879
Hyperkalemia,1880
Cardiac gallop rhythm,1881
Head tilt and episodes,1882
Dysmetria and disequilibrium,1883
pale pink,1884
Mild to severe CNS dysfunction,1885
Underlying skin irritation may be minimal,1886
behavior changes,1887
shyperreflective in the tapetum,1888
Vary with cause of effusion,1889
acute hemorrhagic gastroenteritis,1890
venipuncture,1891
loose stools,1892
paraparesis,1893
Weak puppies and kittens,1894
including night waking,1895
Affected areas may be painful,1896
one or more animals affected in a litter,1897
history of stress,1898
Chemosis,1899
vesicles uncommon,1900
stilted gait in all limbs,1901
May see a retained foreign body,1902
keratitis or Uveitis,1903
crepitus,1904
gyneComastia,1905
exposure to oxidizing substances,1906
Skin Infections,1907
may lead to Blindness,1908
prolapsed third eyelid,1909
superficial vascularization,1910
proximal lesion,1911
aphakic crescent,1912
Incidental host,1913
Mild asymmetry,1914
intermuscular Lipomas,1915
May also involve pinnae and periocular region,1916
sequential rather than concurrent,1917
may persist despite antimicrobial therapy,1918
Frenzied facial Pruritus,1919
induce bone destruction and proliferation,1920
painful mammary chains,1921
ravenous appetite or Inappetence,1922
Neglect of puppies and kittens,1923
Neurologic abnormalities,1924
Excess urinary excretion of GAG,1925
scar tissue that impedes normal function,1926
Sleep with eyes open,1927
Heart murmur due to anemia,1928
seizure,1929
Familial reflex myoclonus observed,1930
marked jaw pain with manipulation and trismus,1931
cramping and myalgia,1932
Generalized Muscle atrophy mild to severe,1933
hypertrophy of some muscles especially the tongue,1934
May improve with exercise,1935
No loss of consciousness,1936
Deformity,1937
Nasopharyngeal or Aural Polyps,1938
Scarring,1939
Secretions or dried,1940
multifocal lesion,1941
Tendency to remain,1942
Mydriasis or miosis and incoordinated gait,1943
including loss of swallowing reflex,1944
Gray collies,1945
Petechial Hemorrhages,1946
may be non-weight-bearing,1947
nail beds often blue,1948
Disseminated,1949
Patient intermittently carries,1950
machinery-type murmur loudest,1951
The pet gets on furniture and counters,1952
wet vulva or prepuce,1953
Ulceration of the perianal skin with sinus tract formation,1954
muffled or distant heart sounds,1955
Non-inflammatory Subcutaneous edema,1956
Abdominal discomfort or pain ocalized or generalized,1957
Direct damage of airway components,1958
Infection or abscess,1959
Possible Melena,1960
rectal prolapse if colorectal form,1961
neck surgery,1962
allergic contact dermatitis or irritant contact dermatitis,1963
polyuria,1964
diabetes mellitus,1965
Urinary tract Infection,1966
most dramatic predominate signs,1967
Fractures of the bony orbit or skull,1968
Sanguineous urethral discharge,1969
Abdominal palpation may reveal thickened bowel loops,1970
May have oral Ulceration,1971
irritability,1972
Expectoration of blood or blood-tinged fluid,1973
adverse drug effects,1974
may radiate widely but particularly dorsally on left,1975
cellulitis if deep,1976
Open cervix blood-stained,1977
ConFirm history of fights or puncture wounds,1978
An abdominal mass is often palpable,1979
Protrusion of round,1980
Attractive to males,1981
Intraluminal mass protruding from the vulva,1982
dyspnea,1983
Necrosis of affected skin especially mucous membranes,1984
murmur depending,1985
A diastolic decrescendo murmur results if the VSD undermines anatomic support of the aortic valve,1986
Prolonged Bleeding after surgery or Trauma,1987
Hemoglobinuria,1988
feel spine,1989
uicerated cornea,1990
usuallynormal anterior segment,1991
Tooth displacement,1992
Feet turned outward,1993
the trochlear ridges of the talus,1994
Broken bone,1995
Attraction of male dogs,1996
Decreased sexual desire,1997
Miscarriage,1998
compulsive Circling,1999
Behavioral distress,2000
Dyschezia,2001
Red spot on the white of the eye,2002
Lumps in the throat,2003
The liver may also be affected,2004
Greenish,2005
Uroliths may be palpable,2006
palpable distension of the urinary bladder,2007
Some may present for urethral obstruction,2008
Complete outflow obstruction,2009
Sometimes small or smooth uroliths are voided,2010
hydronephrosis and renal insufficiency,2011
No vision loss unless mass,2012
Depigmented nasal planum,2013
Visual evidence of tapeworms,2014
Inability to eat,2015
Muscle Tremors or spasms,2016
Cyanosis,2017
Trying to jump out of window,2018
Bark excessively,2019
Difficulty walking,2020
Mega-esophagus,2021
Loss of pigment in skin and hair,2022
Accumulation of debris around the hair shaft,2023
Non-healing wounds,2024
Skin lesions,2025
Crusty,2026
Loss of pigment in the nose,2027
Abnormal heart rhythm,2028
Gas,2029
Very hearty appetite,2030
Lack of appetitie,2031
yellowing of skin,2032
Distended bladder,2033
Discomfort,2034
Enlarged spleen,2035
Crackling sound when breathing,2036
Parasites,2037
Scrotal dermatitis,2038
Pink eye,2039
Reduced activity level,2040
Low body temperature,2041
Excessive Vocalizations,2042
Immobilization,2043
Licking,2044
Foot Infections,2045
Blood or mucus in the stools,2046
Loss of weight,2047
Thin skin,2048
Visual problems,2049
Cardiopulmonary arrest,2050
Bluish skin and gums,2051
Walking in circles,2052
Ulcers,2053
Increase in fluid intake,2054
yellowing of the skin or whites of the eyes,2055
Difficulty defecating,2056
Poor growth,2057
Overexcitement,2058
Mouth sores,2059
Thinning hair,2060
Yellowish plaques near the eyelids,2061
Poor reflexes,2062
Abnormal movements,2063
Urolithiasis,2064
Blood in urine,2065
Bloody stools,2066
Lowered muscle strength,2067
Fingernails that break easily,2068
Weak bones,2069
Excessive blinking,2070
low heart and breathing rates,2071
increased dark pigmentation in the skin,2072
Pain when breathing,2073
Rapid heartbeat,2074
Aggravation,2075
Split heats,2076
Pain in lumbar region,2077
Muscle degeneration,2078
Unexplained growth or tumor on testicles,2079
Iris thinning,2080
Bradycardia,2081
Blood in saliva,2082
tongue chewing,2083
Unexplained growth,2084
Coprophagia,2085
Chills,2086
a mass in the abdomen,2087
Rapid rise in temperature,2088
Bladder Infections,2089
inflamed area spreading,2090
Abnormal hair streams,2091
Increased drinking and urination,2092
Difficulty chewing or swallowing,2093
sores on the face,2094
Blood in urine or stool,2095
Significant loss of weight,2096
Abscess,2097
Unable to rouse from sleep,2098
Puppies and fearful or shy adults,2099
Losing weight,2100
Exudative pleural or peritoneal effusions,2101
Horner?s syndrome,2102
Discolored dark or grey patches of skin,2103
mammary glands,2104
Wounds or deep abscesses,2105
Tail chasing,2106
Paleness of mucus membranes,2107
Dark-colored tarry stools,2108
Possible Jaundice and Hemoglobinuria,2109
Dried blood in the stool (Melena),2110
Continuous murmur,2111
Pain when petted or touched,2112
Local lymphadenopathy,2113
Scrotal or penile edema,2114
apocrine sweating,2115
Signs of CHF,2116
arrhythmia or common,2117
Inability to exercise,2118
Arrhythmia and pulse deficit,2119
pigmenturia,2120
Ascites or fluid accumulation,2121
severe bilirubinuria,2122
Concentrated urine,2123
lung aspirates,2124
Impaired vision in dim light,2125
Disorientation/Confusion,2126
pale vaginal epithelium,2127
Moist,2128
Ulcerative,2129
dry and hacking,2130
minimal,2131
Distress Vocalization,2132
Signs of hepatic failure,2133
Diffuse tapetal hyperreflectivity,2134
friable,2135
Episodic vague peri- or postprandial,2136
sometimes with hyperpigmented central areas,2137
Muffled heart and lung sounds ventrally,2138
reduced body condition,2139
cystocentesis,2140
steatorrhea,2141
Back and Neck Pain,2142
Immunocompromised animals,2143
Anemia may or may not be an important feature,2144
colonic lymphoma,2145
situations of high arousal or stress,2146
frequently Asymptomatic,2147
Follicle formation on posterior third eyelid surface,2148
Inappetence and Lethargy,2149
hyperpigmentation,2150
typically starting in the pelvic limbs,2151
Often rapidly seals,2152
Corneal vascularization,2153
the affected limb,2154
recumbency,2155
Peripheral,2156
Carpal Joint pain,2157
Pigmentary keratitis,2158
pigmentation,2159
Blindness,2160
may feel mid-abdominal mass,2161
may lead to rectal prolapse,2162
Lens luxation,2163
Peracute to Subacute Disease,2164
Polydipsia and polyuria,2165
Nail scuffing in all limbs,2166
Recumbency by 2 to 4 days,2167
edema slower to develop than rattlesnake bite,2168
Bladder wall thickening or crepitus,2169
results from dysfunction of caudal nerves,2170
rarely feet and genitalia,2171
glucocorticoid tachyphylaxis,2172
dorsal thoracic and scapular area and pelvic region,2173
Inflammatory carcinoma,2174
Dehydration and septic shock,2175
Pericardial effusion,2176
Reduced milk production,2177
Metachromatic granules in blood leukocytes,2178
may look normal at rest,2179
Acute death,2180
Concurrent systemic manifestations,2181
limbs and neck and head,2182
Variable Muscle pain,2183
Muscle hypertrophy or atrophy,2184
Atrophy of proximal limb,2185
May be exacerbated by cold,2186
Severity varies,2187
myoglobinuria,2188
sloughing of nail,2189
Concurrent dental,2190
separate from the dam and the rest of the litter,2191
hypothermia was observed at higher doses,2192
trismus,2193
tetraplegia may develop in the final stages,2194
secondary to a perforated gastric ulcer,2195
Skin becomes thickened,2196
abdominal palpation,2197
Mucosal Hemorrhage,2198
expiratory wheezes on auscultation,2199
intravascular coagulation,2200
Priapism persistent penile erection,2201
Seizures,2202
patella remains luxated most of the time,2203
murmur can be loud near the manubrium sterni,2204
furniture during play to get attention or to rest,2205
Occasional vesicles are transient,2206
Licking and self-mutilation,2207
Ascites prominent among them,2208
Inflammatory edema,2209
Displaced or attenuated apical cardiac impulse,2210
patient usually resents palpation,2211
Vague nonspecific signs if gastrointestinal EMP,2212
Difficult or rapid breathing,2213
Recent anesthesia,2214
polydypsia,2215
hyperthyroidism,2216
transiently improve with fluids,2217
Systemic injuries,2218
Stiff hindlimb gait,2219
edema or cavitary effusion or changes in pulse quality,2220
aggressiveness and reclusiveness are common,2221
Concurrent signs of shock can be present,2222
Acute onset of dyspnea,2223
Murmur midsystolic,2224
Pyrexia and sterile suppurative arthritis,2225
periuria Stranguria,2226
Circular erythematous or hyperpigmented spots,2227
purulent vaginal discharge often only presentation,2228
Vaginal discharge that may be serosanguinous,2229
tongue-shaped or donut-shaped tissue mass,2230
Refuses mating,2231
mucocutaneous junctions,2232
Femoral pulses,2233
Abdominal organ injury,2234
Head tilt mild to marked,2235
Blood loss anemia if prolonged Hemorrhage,2236
Orange-tinged feces,2237
weak pulse,2238
perforated cornea,2239
hyperemia,2240
Mucosal Ulceration,2241
Sticking out tongue,2242
ear canal painful,2243
thinning of the haircoat,2244
head pressing,2245
White or pale gums,2246
Discolored urine,2247
Sudden Blindness,2248
shiny reflection of the eyes,2249
Malnourishment,2250
Nephroureteroliths,2251
Nephroliths,2252
striking leukotrichia,2253
Visible pain when opening mouth,2254
Unable to bend legs,2255
Excessive nasal mucus,2256
Shying away when the face is petted,2257
Fail to respond to familiar verbal commands,2258
Difficulty getting up from a sitting,2259
Patches of reddened skin,2260
paralysis,2261
Abnormally smaller volume of feces,2262
Bloody urine or stool,2263
Decreased tear production,2264
Decreased tear production,2265
Lumps around the anus,2266
Behaviour changes,2267
tongue chewing or foaming at the mouth,2268
Frequent gas,2269
Discharge from eye,2270
Holding head lower than back,2271
Whining or whimpering,2272
Growth or growths in mouth,2273
Erythema,2274
Renal failure,2275
Urinary tract Infections,2276
Breathing distress,2277
Runny eyes and nose,2278
Increase in urination,2279
Acting fearful,2280
Compulsive Circling,2281
Recurrent skin Infections,2282
Death,2283
